id|name|creationDate|price
1|pen|2020-03-11|122,000000
2|book|2019-06-25|674,000000
4|phone1232|2020-01-02|300000,000000
5|phwee|2020-03-11|34321,000000
6|phwee2|2020-03-12|3333,000000
14|asdf|2020-03-01|340001,000000
15|asf|2020-04-07|40002,000000
16|zxcvbn|2011-03-09|13,000000
12|Seregz|2001-01-01|45,000000
7|phone2|2020-02-03|30000,000000
11|Seregz|2001-01-01|45,000000
10|asdf|2020-02-03|34000,000000
13|asdf|2020-03-01|340001,000000
17|phone|2020-03-01|21000,000000
18|phonedddd|2020-03-01|21000,000000
21|human|2020-03-01|666,000000
25|ohone|2020-03-02|300200,000000
26|cola|1998-05-03|44,000000
27|pascwq|2020-03-11|321,000000
33|hjonw23s|2020-03-01|20321,000000
34|newItem|2020-03-01|20321,000000
35|phone321|2020-03-10|310000,000000
36|phone3213|2020-03-10|310,000000
37|phone3213|2020-03-10|310,000000
38|dsad111|2020-03-10|310,000000
39|Suit|2020-03-10|310,000000
40|vue js|2021-04-16|1000000,000000
